"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-26 00:00:00","2025-07-26T00:00:00.000Z",943,9.4,9.4,421,416,416,31.5,32,38.7,46,66,294,227,1,3.1,11.2
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-25 00:00:00","2025-07-25T00:00:00.000Z",1367,14.8,14.8,571,414,414,32.2,32.9,40,44,62,200,150,1,5.1,18.3
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-24 00:00:00","2025-07-24T00:00:00.000Z",1383,9.1,9.1,407,410,410,31.6,32.2,38.7,45,64,99,96,2,2.9,11.3
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-23 00:00:00","2025-07-23T00:00:00.000Z",1356,8.5,8.5,403,406,406,32.2,33,39.7,45,64,111,101,2,2.7,10.6
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-22 00:00:00","2025-07-22T00:00:00.000Z",1386,12,12,574,410,410,33.6,34.6,43.8,43,61,443,233,1,5.3,13.9
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-21 00:00:00","2025-07-21T00:00:00.000Z",1374,14.9,14.9,556,404,404,31.8,32.5,39.6,46,65,175,159,1,5.6,18.3
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-20 00:00:00","2025-07-20T00:00:00.000Z",1396,4.5,4.5,299,406,406,32.2,32.9,41.2,47,66,93,94,1,1.2,5.4
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-19 00:00:00","2025-07-19T00:00:00.000Z",1392,8.9,8.9,440,410,410,32.3,33.1,43.2,50,70,293,188,1,3.4,10.5
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-18 00:00:00","2025-07-18T00:00:00.000Z",1368,9,9,422,410,410,32.6,33.4,41.5,46,65,144,135,1,3.3,10.8
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-17 00:00:00","2025-07-17T00:00:00.000Z",1371,4,4,257,408,408,30.3,30.7,36.7,51,72,100,99,2,1.4,4.9
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-16 00:00:00","2025-07-16T00:00:00.000Z",1377,4.5,4.5,287,413,413,32,32.7,41.3,49,69,106,98,1,1.6,5.2
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-15 00:00:00","2025-07-15T00:00:00.000Z",1343,4.2,4.2,269,411,411,31.2,31.8,39.2,50,70,108,104,1,0.7,5.5
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-14 00:00:00","2025-07-14T00:00:00.000Z",1389,15.6,15.6,461,405,405,30.8,31.3,37.7,48,68,258,152,1,3.1,20.2
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-13 00:00:00","2025-07-13T00:00:00.000Z",1384,17.7,17.7,559,404,404,31.7,32.3,39.3,46,65,195,154,1,5.3,22.3
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-12 00:00:00","2025-07-12T00:00:00.000Z",1360,6.7,6.7,363,402,402,31,31.5,38.3,49,69,71,73,1,2,8.2
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-11 00:00:00","2025-07-11T00:00:00.000Z",1362,4.3,4.3,295,410,410,33.5,34.4,44,44,63,214,152,1,0.8,5.3
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-10 00:00:00","2025-07-10T00:00:00.000Z",1373,5.1,5.1,318,411,411,32.6,33.4,40.6,43,61,185,145,1,1.7,6
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-09 00:00:00","2025-07-09T00:00:00.000Z",1384,8.5,8.5,477,409,409,32,32.7,39.4,44,62,142,134,1,3.6,9.9
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-08 00:00:00","2025-07-08T00:00:00.000Z",1390,9.4,9.4,381,406,406,31.1,31.6,38.3,48,67,127,114,2,2.1,12.3
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-07 00:00:00","2025-07-07T00:00:00.000Z",1378,7.7,7.7,377,410,410,31.8,32.5,41,49,69,121,114,1,2,10.1
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-06 00:00:00","2025-07-06T00:00:00.000Z",1388,10,10,444,404,404,32.1,32.8,41.1,47,67,203,141,1,3.6,12.5
90106,"Ecole Elémentaire Ndiangué, Richard-Toll",,"Outdoor","airgradient:d83bda1ae490",true,"2025-07-05 00:00:00","2025-07-05T00:00:00.000Z",1351,7.4,7.4,379,408,408,32.6,33.4,40.9,44,62,273,201,1,2.6,9.2
