"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-28 00:00:00","2025-07-28T00:00:00.000Z",1074,15.5,15.5,608,411,411,28.2,28.2,33.3,60,83,149,149,1,6.5,20.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-27 00:00:00","2025-07-27T00:00:00.000Z",1380,8,8,431,412,412,27.6,27.5,30.6,57,79,121,123,1,3.4,10.2
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-26 00:00:00","2025-07-26T00:00:00.000Z",1394,8.4,8.4,454,408,408,27.3,27.1,29.3,56,78,124,122,1,3.5,14.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-25 00:00:00","2025-07-25T00:00:00.000Z",1394,7,7,387,407,407,27.2,27,29.1,55,77,139,137,1,2.2,13.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-24 00:00:00","2025-07-24T00:00:00.000Z",1394,6.2,6.2,380,404,404,26.7,26.4,28,58,80,97,97,2,2.1,12
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-23 00:00:00","2025-07-23T00:00:00.000Z",1394,8.1,8.1,428,404,404,28,28,32.3,60,83,85,87,1,3,15.2
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-22 00:00:00","2025-07-22T00:00:00.000Z",1395,8.3,8.3,456,405,405,28.5,28.6,33.5,58,80,150,146,1,3.6,14
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-21 00:00:00","2025-07-21T00:00:00.000Z",1392,8.9,8.9,456,401,401,27.3,27.2,29.9,57,80,90,90,1,3.5,16
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-20 00:00:00","2025-07-20T00:00:00.000Z",1392,5.1,5.1,352,404,404,28.2,28.2,33.1,60,83,66,69,1,1.8,8.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-19 00:00:00","2025-07-19T00:00:00.000Z",1393,6.1,6.1,399,416,416,28.7,28.8,35.6,63,86,131,134,1,2.4,10.8
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-18 00:00:00","2025-07-18T00:00:00.000Z",1395,8.7,8.7,448,416,416,27.9,27.9,32.2,60,83,98,101,1,3.3,16.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-17 00:00:00","2025-07-17T00:00:00.000Z",1387,3.8,3.8,291,419,419,28.4,28.4,33.1,58,81,95,98,1,0.9,7.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-16 00:00:00","2025-07-16T00:00:00.000Z",1393,3.9,3.9,300,423,423,28.1,28.1,32.8,60,83,123,125,1,1.5,6
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-15 00:00:00","2025-07-15T00:00:00.000Z",1393,8.4,8.4,397,418,418,27.9,27.9,31.6,58,80,204,183,1,2.2,18.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-14 00:00:00","2025-07-14T00:00:00.000Z",1395,18.1,18.1,570,408,408,27,26.8,29,59,81,140,139,1,4.9,31.8
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-13 00:00:00","2025-07-13T00:00:00.000Z",1395,14.6,14.6,518,403,403,26.9,26.7,28.7,57,80,84,85,2,4.3,26
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-12 00:00:00","2025-07-12T00:00:00.000Z",1393,5.7,5.7,369,403,403,27.1,26.8,29.7,62,86,101,97,1,2.3,10
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-11 00:00:00","2025-07-11T00:00:00.000Z",1393,4.7,4.7,344,411,411,28.1,28.1,32.7,60,82,95,97,1,1.8,8.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-10 00:00:00","2025-07-10T00:00:00.000Z",1391,5.3,5.3,379,416,416,27.8,27.7,31.7,59,82,156,152,1,2.3,7.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-09 00:00:00","2025-07-09T00:00:00.000Z",1394,5.2,5.2,376,416,416,27.1,26.9,29.1,55,77,116,113,1,2.1,7.8
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-08 00:00:00","2025-07-08T00:00:00.000Z",1395,9.5,9.5,451,415,415,27.2,27,29.5,58,80,87,89,1,3.2,18.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-07 00:00:00","2025-07-07T00:00:00.000Z",1392,9.3,9.3,454,413,413,27.5,27.4,31.2,61,84,119,122,1,3.4,18.2
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-06 00:00:00","2025-07-06T00:00:00.000Z",1393,11.6,11.6,537,411,411,27.4,27.2,30.2,60,83,99,100,1,5.2,20.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-05 00:00:00","2025-07-05T00:00:00.000Z",1374,7.9,7.9,397,416,416,27.9,27.9,31.7,57,79,119,121,1,3,12.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-04 00:00:00","2025-07-04T00:00:00.000Z",1393,3,3,285,415,415,27.6,27.4,30.6,57,79,144,142,1,0.8,5
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-03 00:00:00","2025-07-03T00:00:00.000Z",1393,5.2,5.2,361,415,415,27.5,27.4,29.6,53,74,119,119,1,1.8,8.6
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-02 00:00:00","2025-07-02T00:00:00.000Z",1380,10.5,10.5,492,410,410,26.6,26.3,27.9,57,79,108,110,1,4,18.5
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-07-01 00:00:00","2025-07-01T00:00:00.000Z",1390,19,19,649,408,408,26.7,26.4,28,60,82,106,108,1,6.6,28.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-30 00:00:00","2025-06-30T00:00:00.000Z",1392,13.2,13.2,564,409,409,26.3,25.9,27.4,59,81,107,108,1,5.3,21
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-29 00:00:00","2025-06-29T00:00:00.000Z",1392,10.5,10.5,506,415,415,27.5,27.4,30.7,59,81,97,100,1,4.5,17.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-28 00:00:00","2025-06-28T00:00:00.000Z",1394,5.8,5.8,357,420,420,28.4,28.4,32.2,54,76,154,151,1,2.2,11.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-27 00:00:00","2025-06-27T00:00:00.000Z",1375,13,13,559,412,412,27.1,26.8,28.9,56,78,134,129,2,5.4,20.2
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-26 00:00:00","2025-06-26T00:00:00.000Z",1373,11.8,11.8,494,410,410,27.4,27.2,29.9,57,79,107,110,1,4,21.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-25 00:00:00","2025-06-25T00:00:00.000Z",1381,20.3,20.3,621,409,409,27,26.8,29.2,57,80,127,127,1,6,31.8
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-24 00:00:00","2025-06-24T00:00:00.000Z",1375,18.8,18.8,590,404,404,26.3,25.9,27.1,58,81,90,93,1,5.5,30.2
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-23 00:00:00","2025-06-23T00:00:00.000Z",1391,25.2,25.2,753,406,406,27.1,26.9,29.5,60,82,133,132,1,8.8,38.6
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-22 00:00:00","2025-06-22T00:00:00.000Z",1392,27.2,27.2,815,402,402,27,26.8,29,58,81,116,118,1,10.6,41.2
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-21 00:00:00","2025-06-21T00:00:00.000Z",1394,25.1,25.1,756,405,405,26.7,26.4,28,56,77,121,122,1,9,37.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-20 00:00:00","2025-06-20T00:00:00.000Z",1384,22.3,22.3,736,405,405,26.3,25.9,27.1,57,80,98,100,1,9.1,28.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-19 00:00:00","2025-06-19T00:00:00.000Z",1377,20.6,20.6,709,410,410,26.8,26.5,28.3,57,79,103,102,1,8.4,26.3
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-18 00:00:00","2025-06-18T00:00:00.000Z",1363,15.8,15.8,610,411,411,27.1,26.9,29.3,58,80,109,108,1,6.6,21.9
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-17 00:00:00","2025-06-17T00:00:00.000Z",1375,16.7,16.7,608,410,410,27.2,27,29.5,58,81,122,121,1,6.4,23
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-16 00:00:00","2025-06-16T00:00:00.000Z",1388,21.5,21.5,705,409,409,27.1,26.9,29.2,57,79,93,94,2,8.6,29
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-15 00:00:00","2025-06-15T00:00:00.000Z",1371,14.9,14.9,520,410,410,27.2,27,29.4,57,79,114,116,1,4.5,23.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-14 00:00:00","2025-06-14T00:00:00.000Z",1394,14.7,14.7,546,409,409,27.5,27.3,30.2,57,80,82,83,1,5.1,22.1
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-13 00:00:00","2025-06-13T00:00:00.000Z",1391,16.2,16.2,610,416,416,28.4,28.4,32.7,57,79,180,162,1,6.8,22.4
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-12 00:00:00","2025-06-12T00:00:00.000Z",1363,21.1,21.1,671,408,408,27,26.8,29.5,62,85,142,139,1,7.4,29.7
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-11 00:00:00","2025-06-11T00:00:00.000Z",1384,23.6,23.6,702,404,404,26.3,25.9,27.3,60,83,92,92,1,7.7,35.8
90104,"Lycée Technique André Peytavin, Saint-Louis",,"Outdoor","airgradient:744dbdbecb74",true,"2025-06-10 00:00:00","2025-06-10T00:00:00.000Z",1384,16.8,16.8,579,406,406,26.3,26,27.5,59,81,115,117,1,5.5,26.8
