"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-17 00:00:00","2025-07-17T00:00:00.000Z",1269,2,2,237,409,409,31.1,31.6,38.7,49,69,91,94,1,0.3,4
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-16 00:00:00","2025-07-16T00:00:00.000Z",1334,0.9,0.9,186,419,419,30.3,30.7,37.4,54,75,131,130,1,0.3,1.4
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",false,"2025-07-15 00:00:00","2025-07-15T00:00:00.000Z",56,0.1,0.1,108,416,416,25.1,24.6,25.4,71,95,87,92,1,0,0.3
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-09 00:00:00","2025-07-09T00:00:00.000Z",953,3.5,3.5,308,402,402,29.4,29.6,34.1,51,71,111,111,1,0.9,5.6
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-08 00:00:00","2025-07-08T00:00:00.000Z",1343,4.5,4.5,344,408,408,28.9,29,34.1,56,78,116,118,1,1.6,6.8
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-07 00:00:00","2025-07-07T00:00:00.000Z",1362,7.5,7.5,438,409,409,31,31.6,39.3,51,71,101,106,1,3.4,10.1
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-06 00:00:00","2025-07-06T00:00:00.000Z",1377,6.4,6.4,404,410,410,32.1,32.8,40.7,46,66,165,161,1,2.5,9.4
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-05 00:00:00","2025-07-05T00:00:00.000Z",1372,1.6,1.6,234,410,410,30.5,30.9,36.8,50,70,132,129,1,0.3,2.7
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-04 00:00:00","2025-07-04T00:00:00.000Z",1358,2.1,2.1,240,403,403,29.2,29.3,34.1,53,74,116,117,2,0.5,3.7
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-03 00:00:00","2025-07-03T00:00:00.000Z",1388,2.7,2.7,268,405,405,31,31.5,36.9,44,63,145,143,1,0.5,4.7
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-02 00:00:00","2025-07-02T00:00:00.000Z",1375,6.2,6.2,385,402,402,29.7,30,33.7,46,66,110,112,1,2,11.9
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-07-01 00:00:00","2025-07-01T00:00:00.000Z",1388,6.3,6.3,389,403,403,29.4,29.7,33.8,49,69,106,109,1,2,12
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-30 00:00:00","2025-06-30T00:00:00.000Z",1388,9.4,9.4,485,403,403,30.1,30.4,34.5,47,66,84,88,1,3.7,16.3
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-29 00:00:00","2025-06-29T00:00:00.000Z",1372,4.1,4.1,334,414,414,30.9,31.4,37.4,49,69,130,131,1,1.6,6.4
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-28 00:00:00","2025-06-28T00:00:00.000Z",1367,7.8,7.8,437,409,409,28.2,28.2,32,54,76,93,94,2,3.2,13.1
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-27 00:00:00","2025-06-27T00:00:00.000Z",1384,9.1,9.1,476,403,403,30.7,31.2,36.3,46,65,102,102,2,3.6,14.7
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-26 00:00:00","2025-06-26T00:00:00.000Z",1385,8.3,8.3,428,400,400,30.4,30.8,36.1,48,68,105,107,1,2.8,15.5
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-25 00:00:00","2025-06-25T00:00:00.000Z",1385,12.6,12.6,514,400,400,30.1,30.5,35.1,48,68,110,112,1,4.1,21.9
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-24 00:00:00","2025-06-24T00:00:00.000Z",1395,11.1,11.1,483,401,401,30.9,31.3,36.4,46,65,95,97,1,3.5,20
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-23 00:00:00","2025-06-23T00:00:00.000Z",1375,16.2,16.2,610,403,403,31.3,31.9,38,46,65,143,135,1,5.8,24.9
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-22 00:00:00","2025-06-22T00:00:00.000Z",1369,15.7,15.7,611,402,402,31.2,31.7,36.3,44,62,152,142,1,5.9,22.7
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-21 00:00:00","2025-06-21T00:00:00.000Z",1377,20.6,20.6,726,401,401,29.5,29.8,33,46,65,127,123,1,9,26.4
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-20 00:00:00","2025-06-20T00:00:00.000Z",1358,18.9,18.9,704,399,399,29.8,30.1,33.8,46,66,121,122,1,8.4,24.3
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-19 00:00:00","2025-06-19T00:00:00.000Z",1368,17.7,17.7,678,402,402,30.3,30.7,35,46,66,192,154,1,7.3,23.3
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-18 00:00:00","2025-06-18T00:00:00.000Z",1347,11.1,11.1,534,407,407,31.2,31.8,35.3,41,59,101,102,1,4.8,15.3
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-17 00:00:00","2025-06-17T00:00:00.000Z",1384,15.1,15.1,611,420,420,31.6,32.3,38.6,45,64,147,136,1,6.1,20
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-16 00:00:00","2025-06-16T00:00:00.000Z",1393,19,19,647,413,413,29.8,30.1,33.8,48,68,123,124,1,7,27
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-15 00:00:00","2025-06-15T00:00:00.000Z",1369,12,12,530,407,407,29.5,29.8,33.3,48,68,121,119,2,4.5,18.1
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-14 00:00:00","2025-06-14T00:00:00.000Z",1366,11.4,11.4,520,421,421,30.1,30.4,34.7,48,68,69,71,1,4.6,15.9
151722,"Lycée Cheikh Mouhamadou Moustapha Mbacké, Diourbel",,"Outdoor","airgradient:34b7daa1e7f4",true,"2025-06-13 00:00:00","2025-06-13T00:00:00.000Z",1382,17.2,17.2,725,425,425,29.5,29.8,35.3,53,74,220,166,1,8.7,22.4
