"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-28 00:00:00","2025-07-28T00:00:00.000Z",1069,2.5,2.5,247,410,410,29.8,30.1,36.5,53,75,153,134,1,0.9,3
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-27 00:00:00","2025-07-27T00:00:00.000Z",1376,2,2,230,406,406,31,31.4,37.6,47,66,96,94,1,0.7,2.8
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-26 00:00:00","2025-07-26T00:00:00.000Z",1393,4.6,4.6,330,407,407,30.1,30.4,35.5,48,68,86,87,1,1.9,5.9
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-25 00:00:00","2025-07-25T00:00:00.000Z",1389,0.8,0.8,166,413,413,29.6,29.8,33.6,46,66,234,134,1,0.1,1.6
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-24 00:00:00","2025-07-24T00:00:00.000Z",1366,3.9,3.9,275,425,425,30.2,30.6,35.7,47,67,524,230,1,1,5.8
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-23 00:00:00","2025-07-23T00:00:00.000Z",1333,4.8,4.8,330,422,422,31.9,32.5,41.7,50,70,230,158,1,1.6,6.7
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-22 00:00:00","2025-07-22T00:00:00.000Z",1366,3.1,3.1,276,416,416,31.9,32.5,40.3,47,66,390,194,1,0.6,4.2
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-21 00:00:00","2025-07-21T00:00:00.000Z",1319,3,3,262,420,420,31.2,31.7,38.7,48,68,127,108,1,0.5,4.5
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-20 00:00:00","2025-07-20T00:00:00.000Z",1379,0.2,0.2,134,404,404,31.9,32.5,42.4,51,71,176,167,1,0,0.6
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-19 00:00:00","2025-07-19T00:00:00.000Z",1366,0.8,0.8,139,409,409,31.6,32.2,40.9,50,71,136,134,1,0.2,1.2
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-18 00:00:00","2025-07-18T00:00:00.000Z",1370,3.4,3.4,281,414,414,31.6,32.2,40.8,50,70,149,129,1,0.7,5.2
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-17 00:00:00","2025-07-17T00:00:00.000Z",1359,2.7,2.7,239,414,414,30.6,31,38,51,71,83,82,1,0.4,4.4
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-16 00:00:00","2025-07-16T00:00:00.000Z",1298,2.2,2.2,242,423,423,30.2,30.5,37.5,53,75,230,201,1,0.7,2.8
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-15 00:00:00","2025-07-15T00:00:00.000Z",1375,8.5,8.5,402,412,412,30.1,30.5,36.3,50,71,111,104,1,2.8,13.5
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-14 00:00:00","2025-07-14T00:00:00.000Z",1370,16.6,16.6,559,412,412,30.4,30.8,37,50,70,136,123,1,5.3,24.5
89441,"Université de Thiès",,"Outdoor","airgradient:34b7daa1e1b0",true,"2025-07-13 00:00:00","2025-07-13T00:00:00.000Z",1377,4.9,4.9,294,396,396,30.5,30.9,37.1,49,70,99,100,1,1.4,8
