date,iqa
2025-05-04,112.33
2025-05-05,107.5
2025-05-06,102.75
2025-05-07,119.22
2025-05-08,120.76
2025-05-09,127.89
2025-05-10,126.12
2025-05-12,121.49
2025-05-13,127.3
2025-05-14,123.1
2025-05-15,114.47
2025-05-16,121.66
2025-05-17,126.29
2025-05-18,130.24
2025-05-19,127.7
2025-05-20,129.38
2025-05-21,128.1
2025-05-22,117.83
2025-05-23,133.5
2025-05-24,144.86
2025-05-25,143.98
2025-05-26,126.21
2025-05-27,113.88
2025-05-28,129.6
2025-05-29,127.39
2025-05-30,134.52
2025-05-31,137.79
2025-06-01,135.04
2025-06-02,140.42
2025-06-03,137.36
2025-06-04,161.33
2025-06-05,157.42
2025-06-06,131.97
2025-06-07,125.0
2025-06-08,129.25
2025-06-09,137.27
2025-06-10,135.02
2025-06-11,137.76
2025-06-12,141.42
2025-06-13,130.86
2025-06-14,132.73
2025-06-15,131.83
2025-06-16,132.12
2025-06-17,134.5
2025-06-18,133.34
2025-06-19,132.46
2025-06-20,132.62
2025-06-21,128.94
2025-06-22,134.69
2025-06-23,137.21
2025-06-24,134.54
2025-06-25,132.7
2025-06-26,131.18
2025-06-27,129.78
2025-06-28,126.18
2025-06-29,135.3
2025-06-30,135.78
2025-07-01,137.42
2025-07-02,132.17
2025-07-03,123.49
2025-07-04,131.39
2025-07-05,132.16
2025-07-06,137.75
2025-07-07,139.94
2025-07-08,134.14
2025-07-09,127.83
2025-07-10,136.19
2025-07-11,137.33
2025-07-12,142.71
2025-07-13,132.77
2025-07-14,135.73
2025-07-15,133.2
2025-07-16,139.02
2025-07-17,134.49
2025-07-18,138.21
2025-07-19,143.53
2025-07-20,138.85
2025-07-21,132.86
2025-07-22,133.09
2025-07-23,137.6
2025-07-24,132.92
2025-07-25,128.08
2025-07-26,129.47
2025-07-27,132.31
2025-07-28,139.0
2025-07-29,140.97
2025-07-30,139.74
2025-07-31,130.27
2025-08-01,129.19
2025-08-02,126.15
2025-08-03,122.59
2025-08-04,131.66
2025-08-05,131.8
2025-08-06,135.34
2025-08-07,135.1
2025-08-08,130.83
2025-08-09,124.64
2025-08-12,119.04
