date,iqa
2025-05-04,119.9
2025-05-05,123.77
2025-05-06,153.13
2025-05-07,117.45
2025-05-08,164.41
2025-05-09,129.14
2025-05-10,279.08
2025-05-12,129.12
2025-05-13,629.19
2025-05-14,
2025-05-15,
2025-05-16,
2025-05-17,
2025-05-18,
2025-05-19,
2025-05-20,
2025-05-21,
2025-05-22,
2025-05-23,
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,
2025-05-28,
2025-05-29,
2025-05-30,
2025-05-31,
2025-06-01,
2025-06-02,
2025-06-03,
2025-06-04,
2025-06-05,
2025-06-06,
2025-06-07,
2025-06-08,
2025-06-09,
2025-06-10,
2025-06-11,
2025-06-12,
2025-06-13,
2025-06-14,
2025-06-15,
2025-06-16,
2025-06-17,
2025-06-18,
2025-06-19,
2025-06-20,
2025-06-21,
2025-06-22,
2025-06-23,
2025-06-24,
2025-06-25,112.42
2025-06-28,126.22
2025-06-29,119.39
2025-06-30,119.4
2025-07-01,122.35
2025-07-02,119.54
2025-07-03,118.02
2025-07-04,120.09
2025-07-05,123.81
2025-07-06,121.59
2025-07-07,120.26
2025-07-08,117.08
2025-07-09,121.15
2025-07-10,123.68
2025-07-11,127.44
2025-07-12,116.56
2025-07-13,119.73
2025-07-14,115.93
2025-07-15,117.75
2025-07-16,121.1
2025-07-17,119.98
2025-07-18,123.73
2025-07-19,122.45
2025-07-20,122.01
2025-07-21,120.2
2025-07-22,128.22
2025-07-23,122.05
2025-07-24,119.41
2025-07-25,121.79
2025-07-26,118.68
2025-08-03,131.09
2025-08-04,120.37
2025-08-08,120.91
2025-08-11,132.2
2025-08-12,260.79
